pango_lineage,who_variants
AY.94,Delta
AY.95,Delta
AY.96,Delta
AY.97,Delta
AY.98,Delta
AY.98.1,Delta
AY.99,Delta
AY.99.1,Delta
AY.99.2,Delta
AY.100,Delta
AY.101,Delta
AY.102,Delta
AY.103,Delta
AY.104,Delta
AY.105,Delta
AY.106,Delta
AY.107,Delta
AY.108,Delta
AY.109,Delta
AY.110,Delta
AY.111,Delta
AY.112,Delta
AY.113,Delta
AY.114,Delta
AY.115,Delta
AY.116,Delta
AY.116.1,Delta
AY.117,Delta
AY.118,Delta
AY.119,Delta
AY.120,Delta
AY.120.1,Delta
AY.120.2,Delta
AY.120.2.1,Delta
AY.121,Delta
AY.121.1,Delta
AY.122,Delta
AY.122.1,Delta
AY.123,Delta
AY.124,Delta
AY.125,Delta
AY.126,Delta
AY.127,Delta
AY.127.1,Delta
AY.128,Delta
AY.129,Delta
AY.130,Delta
B.1.525,Eta
B.1.526,Iota
B.1.617.1,Kappa
C.37,Lambda
B.1.427,Epsilon
B.1.429,Epsilon
P.2,Zeta
B.1.621,Mu
B.1.621.1,Mu
BA.1,Omicron (BA.1)
BA.1.1,Omicron (BA.1)
BA.1.1.1,Omicron (BA.1)
BC.1,Omicron (BA.1)
BC.2,Omicron (BA.1)
BA.1.1.2,Omicron (BA.1)
BA.1.1.3,Omicron (BA.1)
BA.1.1.4,Omicron (BA.1)
BA.1.1.5,Omicron (BA.1)
BA.1.1.6,Omicron (BA.1)
BA.1.1.7,Omicron (BA.1)
BA.1.1.8,Omicron (BA.1)
BA.1.1.9,Omicron (BA.1)
BA.1.1.10,Omicron (BA.1)
BA.1.1.11,Omicron (BA.1)
BA.1.1.12,Omicron (BA.1)
BA.1.1.13,Omicron (BA.1)
BA.1.1.14,Omicron (BA.1)
BA.1.1.15,Omicron (BA.1)
BA.1.1.16,Omicron (BA.1)
BA.1.1.17,Omicron (BA.1)
BA.1.1.18,Omicron (BA.1)
BA.1.2,Omicron (BA.1)
BA.1.3,Omicron (BA.1)
BA.1.4,Omicron (BA.1)
BA.1.5,Omicron (BA.1)
BA.1.6,Omicron (BA.1)
BA.1.7,Omicron (BA.1)
BA.1.8,Omicron (BA.1)
BA.1.9,Omicron (BA.1)
BA.1.10,Omicron (BA.1)
BA.1.12,Omicron (BA.1)
BA.1.13,Omicron (BA.1)
BA.1.13.1,Omicron (BA.1)
BA.1.14,Omicron (BA.1)
BA.1.14.1,Omicron (BA.1)
BA.1.14.2,Omicron (BA.1)
BA.1.15,Omicron (BA.1)
BA.1.15.1,Omicron (BA.1)
BA.1.15.2,Omicron (BA.1)
BA.1.15.3,Omicron (BA.1)
BA.1.16,Omicron (BA.1)
BA.1.16.1,Omicron (BA.1)
BA.1.16.2,Omicron (BA.1)
BA.1.17,Omicron (BA.1)
BA.1.17.1,Omicron (BA.1)
BA.1.17.2,Omicron (BA.1)
BD.1,Omicron (BA.1)
BA.1.18,Omicron (BA.1)
BA.1.19,Omicron (BA.1)
BA.1.20,Omicron (BA.1)
BA.1.21,Omicron (BA.1)
BA.1.21.1,Omicron (BA.1)
BA.1.22,Omicron (BA.1)
BA.1.23,Omicron (BA.1)
BA.1.24,Omicron (BA.1)
BA.2,Omicron (BA.2)
BA.2.1,Omicron (BA.2)
BA.2.2,Omicron (BA.2)
BA.2.2.1,Omicron (BA.2)
BA.2.3,Omicron (BA.2)
BA.2.3.1,Omicron (BA.2)
BA.2.3.2,Omicron (BA.2)
BS.1,Omicron (BA.2)
BS.1.1,Omicron (BA.2)
BS.1.2,Omicron (BA.2)
BA.2.3.4,Omicron (BA.2)
BA.2.3.5,Omicron (BA.2)
BA.2.3.6,Omicron (BA.2)
BA.2.3.7,Omicron (BA.2)
BA.2.3.8,Omicron (BA.2)
BA.2.3.9,Omicron (BA.2)
BA.2.3.10,Omicron (BA.2)
BA.2.3.11,Omicron (BA.2)
BA.2.3.12,Omicron (BA.2)
BA.2.3.13,Omicron (BA.2)
BA.2.3.14,Omicron (BA.2)
BA.2.3.15,Omicron (BA.2)
BA.2.3.16,Omicron (BA.2)
BP.1,Omicron (BA.2)
BA.2.3.17,Omicron (BA.2)
BA.2.3.18,Omicron (BA.2)
BA.2.3.19,Omicron (BA.2)
BA.2.3.20,Omicron (BA.2)
CM.1,Omicron (BA.2)
CM.2,Omicron (BA.2)
CM.2.1,Omicron (BA.2)
CM.3,Omicron (BA.2)
CM.4,Omicron (BA.2)
CM.4.1,Omicron (BA.2)
CM.5,Omicron (BA.2)
CM.5.1,Omicron (BA.2)
CM.5.2,Omicron (BA.2)
CM.6,Omicron (BA.2)
CM.6.1,Omicron (BA.2)
CM.7,Omicron (BA.2)
CM.8,Omicron (BA.2)
CM.8.1,Omicron (BA.2)
CM.8.1.1,Omicron (BA.2)
CM.8.1.2,Omicron (BA.2)
CM.8.1.3,Omicron (BA.2)
CM.8.1.4,Omicron (BA.2)
CM.9,Omicron (BA.2)
CM.10,Omicron (BA.2)
CM.11,Omicron (BA.2)
CM.12,Omicron (BA.2)
BA.2.3.21,Omicron (BA.2)
DD.1,Omicron (BA.2)
BA.2.3.22,Omicron (BA.2)
BA.2.4,Omicron (BA.2)
BA.2.5,Omicron (BA.2)
BA.2.6,Omicron (BA.2)
BA.2.7,Omicron (BA.2)
BA.2.8,Omicron (BA.2)
BA.2.9,Omicron (BA.2)
BA.2.9.1,Omicron (BA.2)
BA.2.9.2,Omicron (BA.2)
BA.2.9.3,Omicron (BA.2)
BA.2.9.4,Omicron (BA.2)
BA.2.9.5,Omicron (BA.2)
BA.2.9.6,Omicron (BA.2)
BA.2.9.7,Omicron (BA.2)
BA.2.10,Omicron (BA.2)
BA.2.10.1,Omicron (BA.2)
BJ.1,Omicron (BA.2)
BA.2.10.2,Omicron (BA.2)
BA.2.10.3,Omicron (BA.2)
BA.2.10.4,Omicron (BA.2)
BA.2.11,Omicron (BA.2)
BA.2.12,Omicron (BA.2)
BA.2.12.1,Omicron (BA.2)
BG.1,Omicron (BA.2)
BG.2,Omicron (BA.2)
BG.3,Omicron (BA.2)
BG.4,Omicron (BA.2)
BG.5,Omicron (BA.2)
BG.6,Omicron (BA.2)
BG.7,Omicron (BA.2)
BA.2.12.2,Omicron (BA.2)
BA.2.13,Omicron (BA.2)
BA.2.13.1,Omicron (BA.2)
BA.2.14,Omicron (BA.2)
BA.2.15,Omicron (BA.2)
BA.2.16,Omicron (BA.2)
BA.2.17,Omicron (BA.2)
BA.2.18,Omicron (BA.2)
BA.2.19,Omicron (BA.2)
BA.2.20,Omicron (BA.2)
BA.2.21,Omicron (BA.2)
BA.2.22,Omicron (BA.2)
BA.2.23,Omicron (BA.2)
BA.2.23.1,Omicron (BA.2)
BA.2.24,Omicron (BA.2)
BA.2.25,Omicron (BA.2)
BA.2.25.1,Omicron (BA.2)
BA.2.26,Omicron (BA.2)
BA.2.27,Omicron (BA.2)
BA.2.28,Omicron (BA.2)
BA.2.29,Omicron (BA.2)
BA.2.30,Omicron (BA.2)
BA.2.31,Omicron (BA.2)
BA.2.31.1,Omicron (BA.2)
BA.2.32,Omicron (BA.2)
BA.2.33,Omicron (BA.2)
BA.2.34,Omicron (BA.2)
BA.2.35,Omicron (BA.2)
BA.2.36,Omicron (BA.2)
BA.2.37,Omicron (BA.2)
BA.2.38,Omicron (BA.2)
BA.2.38.1,Omicron (BA.2)
BA.2.38.2,Omicron (BA.2)
BA.2.38.3,Omicron (BA.2)
BA.2.38.4,Omicron (BA.2)
BH.1,Omicron (BA.2)
BA.2.39,Omicron (BA.2)
BA.2.40,Omicron (BA.2)
BA.2.40.1,Omicron (BA.2)
BA.2.41,Omicron (BA.2)
BA.2.42,Omicron (BA.2)
BA.2.43,Omicron (BA.2)
BA.2.44,Omicron (BA.2)
BA.2.45,Omicron (BA.2)
BA.2.46,Omicron (BA.2)
BA.2.47,Omicron (BA.2)
BA.2.48,Omicron (BA.2)
BA.2.49,Omicron (BA.2)
BA.2.50,Omicron (BA.2)
BA.2.51,Omicron (BA.2)
BA.2.52,Omicron (BA.2)
BA.2.53,Omicron (BA.2)
BA.2.54,Omicron (BA.2)
BA.2.55,Omicron (BA.2)
BA.2.56,Omicron (BA.2)
BA.2.56.1,Omicron (BA.2)
BA.2.57,Omicron (BA.2)
BA.2.58,Omicron (BA.2)
BA.2.59,Omicron (BA.2)
BA.2.60,Omicron (BA.2)
BA.2.61,Omicron (BA.2)
BA.2.62,Omicron (BA.2)
BA.2.63,Omicron (BA.2)
BA.2.64,Omicron (BA.2)
BA.2.65,Omicron (BA.2)
BA.2.66,Omicron (BA.2)
BA.2.67,Omicron (BA.2)
BA.2.68,Omicron (BA.2)
BA.2.69,Omicron (BA.2)
BA.2.70,Omicron (BA.2)
BA.2.71,Omicron (BA.2)
BA.2.72,Omicron (BA.2)
BA.2.73,Omicron (BA.2)
BA.2.74,Omicron (BA.2)
BA.2.75,Omicron (BA.2)
BA.2.75.1,Omicron (BA.2)
BL.1,Omicron (BA.2)
BL.1.1,Omicron (BA.2)
BL.1.2,Omicron (BA.2)
BL.1.3,Omicron (BA.2)
BL.1.4,Omicron (BA.2)
BL.1.5,Omicron (BA.2)
BL.2,Omicron (BA.2)
BL.2.1,Omicron (BA.2)
BL.3,Omicron (BA.2)
BL.4,Omicron (BA.2)
BL.5,Omicron (BA.2)
BL.6,Omicron (BA.2)
BA.2.75.2,Omicron (BA.2)
CA.1,Omicron (BA.2)
CA.2,Omicron (BA.2)
CA.3,Omicron (BA.2)
CA.3.1,Omicron (BA.2)
CA.4,Omicron (BA.2)
CA.5,Omicron (BA.2)
CA.6,Omicron (BA.2)
CA.7,Omicron (BA.2)
BA.2.75.3,Omicron (BA.2)
BM.1,Omicron (BA.2)
BM.1.1,Omicron (BA.2)
BM.1.1.1,Omicron (BA.2)
CJ.1,Omicron (BA.2)
CJ.1.1,Omicron (BA.2)
BM.1.1.2,Omicron (BA.2)
BM.1.1.3,Omicron (BA.2)
CV.1,Omicron (BA.2)
CV.2,Omicron (BA.2)
BM.1.1.4,Omicron (BA.2)
EP.1,Omicron (BA.2)
EP.2,Omicron (BA.2)
BM.1.1.5,Omicron (BA.2)
BM.2,Omicron (BA.2)
BM.2.1,Omicron (BA.2)
BM.2.2,Omicron (BA.2)
BM.2.3,Omicron (BA.2)
BM.3,Omicron (BA.2)
BM.4,Omicron (BA.2)
BM.4.1,Omicron (BA.2)
BM.4.1.1,Omicron (BA.2)
CH.1,Omicron (BA.2)
CH.1.1,Omicron (BA.2)
CH.1.1.1,Omicron (BA.2)
DV.1,Omicron (BA.2)
DV.1.1,Omicron (BA.2)
DV.2,Omicron (BA.2)
DV.3,Omicron (BA.2)
DV.3.1,Omicron (BA.2)
DV.4,Omicron (BA.2)
DV.5,Omicron (BA.2)
CH.1.1.2,Omicron (BA.2)
CH.1.1.3,Omicron (BA.2)
CH.1.1.4,Omicron (BA.2)
CH.1.1.5,Omicron (BA.2)
CH.1.1.6,Omicron (BA.2)
CH.1.1.7,Omicron (BA.2)
CH.1.1.8,Omicron (BA.2)
CH.1.1.9,Omicron (BA.2)
CH.1.1.10,Omicron (BA.2)
CH.1.1.11,Omicron (BA.2)
CH.1.1.12,Omicron (BA.2)
CH.1.1.13,Omicron (BA.2)
CH.1.1.14,Omicron (BA.2)
CH.1.1.15,Omicron (BA.2)
CH.1.1.16,Omicron (BA.2)
CH.1.1.17,Omicron (BA.2)
CH.1.1.18,Omicron (BA.2)
CH.1.1.19,Omicron (BA.2)
CH.1.1.20,Omicron (BA.2)
CH.1.1.21,Omicron (BA.2)
CH.2,Omicron (BA.2)
CH.3,Omicron (BA.2)
CH.3.1,Omicron (BA.2)
BM.5,Omicron (BA.2)
BM.6,Omicron (BA.2)
BA.2.75.4,Omicron (BA.2)
BR.1,Omicron (BA.2)
BR.1.1,Omicron (BA.2)
BR.1.2,Omicron (BA.2)
BR.2,Omicron (BA.2)
BR.2.1,Omicron (BA.2)
BR.3,Omicron (BA.2)
BR.4,Omicron (BA.2)
BR.5,Omicron (BA.2)
BA.2.75.5,Omicron (BA.2)
BN.1,Omicron (BA.2)
BN.1.1,Omicron (BA.2)
BN.1.1.1,Omicron (BA.2)
BN.1.2,Omicron (BA.2)
BN.1.2.1,Omicron (BA.2)
BN.1.2.2,Omicron (BA.2)
BN.1.2.3,Omicron (BA.2)
BN.1.2.4,Omicron (BA.2)
BN.1.3,Omicron (BA.2)
BN.1.3.1,Omicron (BA.2)
DS.1,Omicron (BA.2)
DS.2,Omicron (BA.2)
DS.3,Omicron (BA.2)
BN.1.3.2,Omicron (BA.2)
BN.1.3.3,Omicron (BA.2)
BN.1.3.4,Omicron (BA.2)
BN.1.3.5,Omicron (BA.2)
BN.1.3.6,Omicron (BA.2)
BN.1.3.7,Omicron (BA.2)
BN.1.3.8,Omicron (BA.2)
EJ.1,Omicron (BA.2)
EJ.2,Omicron (BA.2)
BN.1.3.9,Omicron (BA.2)
BN.1.4,Omicron (BA.2)
BN.1.4.1,Omicron (BA.2)
BN.1.4.2,Omicron (BA.2)
BN.1.4.3,Omicron (BA.2)
BN.1.4.4,Omicron (BA.2)
BN.1.4.5,Omicron (BA.2)
BN.1.5,Omicron (BA.2)
BN.1.5.1,Omicron (BA.2)
BN.1.5.2,Omicron (BA.2)
BN.1.6,Omicron (BA.2)
BN.1.7,Omicron (BA.2)
BN.1.8,Omicron (BA.2)
BN.1.9,Omicron (BA.2)
BN.1.10,Omicron (BA.2)
BN.1.11,Omicron (BA.2)
BN.2,Omicron (BA.2)
BN.2.1,Omicron (BA.2)
BN.3,Omicron (BA.2)
BN.3.1,Omicron (BA.2)
BN.4,Omicron (BA.2)
BN.5,Omicron (BA.2)
BN.6,Omicron (BA.2)
BA.2.75.6,Omicron (BA.2)
BY.1,Omicron (BA.2)
BY.1.1,Omicron (BA.2)
BY.1.1.1,Omicron (BA.2)
BY.1.2,Omicron (BA.2)
BY.1.2.1,Omicron (BA.2)
BA.2.75.7,Omicron (BA.2)
BA.2.75.8,Omicron (BA.2)
BA.2.75.9,Omicron (BA.2)
CB.1,Omicron (BA.2)
BA.2.75.10,Omicron (BA.2)
BA.2.76,Omicron (BA.2)
BA.2.76.1,Omicron (BA.2)
BA.2.76.2,Omicron (BA.2)
BA.2.77,Omicron (BA.2)
BA.2.78,Omicron (BA.2)
BA.2.79,Omicron (BA.2)
BA.2.79.1,Omicron (BA.2)
BA.2.80,Omicron (BA.2)
BA.2.81,Omicron (BA.2)
BA.2.82,Omicron (BA.2)
BA.2.83,Omicron (BA.2)
BA.2.85,Omicron (BA.2)
BA.3,Omicron (BA.3)
BA.3.1,Omicron (BA.3)
BA.4,Omicron (BA.4)
BA.4.1,Omicron (BA.4)
BA.4.1.1,Omicron (BA.4)
BA.4.1.2,Omicron (BA.4)
BA.4.1.3,Omicron (BA.4)
BA.4.1.4,Omicron (BA.4)
BA.4.1.5,Omicron (BA.4)
BA.4.1.6,Omicron (BA.4)
BA.4.1.7,Omicron (BA.4)
BA.4.1.8,Omicron (BA.4)
BA.4.1.9,Omicron (BA.4)
BA.4.1.10,Omicron (BA.4)
BA.4.1.11,Omicron (BA.4)
CS.1,Omicron (BA.4)
BA.4.2,Omicron (BA.4)
BA.4.3,Omicron (BA.4)
BA.4.4,Omicron (BA.4)
BA.4.5,Omicron (BA.4)
BA.4.6,Omicron (BA.4)
BA.4.6.1,Omicron (BA.4)
BA.4.6.2,Omicron (BA.4)
BA.4.6.3,Omicron (BA.4)
BA.4.6.4,Omicron (BA.4)
BA.4.6.5,Omicron (BA.4)
DC.1,Omicron (BA.4)
BA.4.7,Omicron (BA.4)
BA.4.8,Omicron (BA.4)
BA.5,Omicron (BA.5)
BA.5.1,Omicron (BA.5)
BA.5.1.1,Omicron (BA.5)
BA.5.1.2,Omicron (BA.5)
BA.5.1.3,Omicron (BA.5)
BA.5.1.4,Omicron (BA.5)
BA.5.1.5,Omicron (BA.5)
BA.5.1.6,Omicron (BA.5)
BA.5.1.7,Omicron (BA.5)
BA.5.1.8,Omicron (BA.5)
BA.5.1.9,Omicron (BA.5)
BA.5.1.10,Omicron (BA.5)
BK.1,Omicron (BA.5)
BA.5.1.11,Omicron (BA.5)
BA.5.1.12,Omicron (BA.5)
BA.5.1.14,Omicron (BA.5)
BA.5.1.15,Omicron (BA.5)
DL.1,Omicron (BA.5)
BA.5.1.16,Omicron (BA.5)
BA.5.1.17,Omicron (BA.5)
BA.5.1.18,Omicron (BA.5)
BA.5.1.19,Omicron (BA.5)
BA.5.1.20,Omicron (BA.5)
BA.5.1.21,Omicron (BA.5)
BT.1,Omicron (BA.5)
BT.2,Omicron (BA.5)
BA.5.1.22,Omicron (BA.5)
DH.1,Omicron (BA.5)
BA.5.1.23,Omicron (BA.5)
DE.1,Omicron (BA.5)
DE.2,Omicron (BA.5)
BA.5.1.24,Omicron (BA.5)
BA.5.1.25,Omicron (BA.5)
DJ.1,Omicron (BA.5)
DJ.1.1,Omicron (BA.5)
DJ.1.1.1,Omicron (BA.5)
DJ.1.2,Omicron (BA.5)
DJ.1.3,Omicron (BA.5)
BA.5.1.26,Omicron (BA.5)
CU.1,Omicron (BA.5)
BA.5.1.27,Omicron (BA.5)
BA.5.1.28,Omicron (BA.5)
BA.5.1.29,Omicron (BA.5)
CL.1,Omicron (BA.5)
CL.1.1,Omicron (BA.5)
CL.1.2,Omicron (BA.5)
CL.1.3,Omicron (BA.5)
BA.5.1.30,Omicron (BA.5)
BA.5.1.31,Omicron (BA.5)
BA.5.1.32,Omicron (BA.5)
BA.5.1.33,Omicron (BA.5)
EQ.1,Omicron (BA.5)
BA.5.1.34,Omicron (BA.5)
BA.5.1.35,Omicron (BA.5)
EB.1,Omicron (BA.5)
BA.5.1.36,Omicron (BA.5)
BA.5.1.37,Omicron (BA.5)
BA.5.1.38,Omicron (BA.5)
BA.5.2,Omicron (BA.5)
BA.5.2.1,Omicron (BA.5)
BF.1,Omicron (BA.5)
BF.1.1,Omicron (BA.5)
BF.2,Omicron (BA.5)
BF.3,Omicron (BA.5)
BF.3.1,Omicron (BA.5)
BF.4,Omicron (BA.5)
BF.5,Omicron (BA.5)
BF.5.1,Omicron (BA.5)
BF.5.2,Omicron (BA.5)
BF.5.3,Omicron (BA.5)
BF.5.4,Omicron (BA.5)
BF.5.5,Omicron (BA.5)
BF.6,Omicron (BA.5)
BF.7,Omicron (BA.5)
BF.7.1,Omicron (BA.5)
BF.7.2,Omicron (BA.5)
BF.7.3,Omicron (BA.5)
BF.7.4,Omicron (BA.5)
BF.7.4.1,Omicron (BA.5)
BF.7.4.2,Omicron (BA.5)
BF.7.4.3,Omicron (BA.5)
BF.7.5,Omicron (BA.5)
BF.7.5.1,Omicron (BA.5)
BF.7.6,Omicron (BA.5)
BF.7.7,Omicron (BA.5)
BF.7.8,Omicron (BA.5)
BF.7.9,Omicron (BA.5)
BF.7.10,Omicron (BA.5)
BF.7.11,Omicron (BA.5)
BF.7.12,Omicron (BA.5)
BF.7.13,Omicron (BA.5)
BF.7.13.1,Omicron (BA.5)
BF.7.13.2,Omicron (BA.5)
BF.7.14,Omicron (BA.5)
BF.7.14.1,Omicron (BA.5)
BF.7.14.2,Omicron (BA.5)
BF.7.14.3,Omicron (BA.5)
BF.7.14.4,Omicron (BA.5)
BF.7.14.5,Omicron (BA.5)
BF.7.14.6,Omicron (BA.5)
BF.7.14.7,Omicron (BA.5)
BF.7.15,Omicron (BA.5)
BF.7.16,Omicron (BA.5)
BF.7.16.1,Omicron (BA.5)
BF.7.17,Omicron (BA.5)
BF.7.18,Omicron (BA.5)
BF.7.19,Omicron (BA.5)
BF.7.19.1,Omicron (BA.5)
BF.7.20,Omicron (BA.5)
BF.7.21,Omicron (BA.5)
BF.7.22,Omicron (BA.5)
BF.7.23,Omicron (BA.5)
BF.7.24,Omicron (BA.5)
BF.7.26,Omicron (BA.5)
BF.7.27,Omicron (BA.5)
BF.8,Omicron (BA.5)
BF.9,Omicron (BA.5)
BF.10,Omicron (BA.5)
BF.10.1,Omicron (BA.5)
BF.11,Omicron (BA.5)
BF.11.1,Omicron (BA.5)
BF.11.2,Omicron (BA.5)
BF.11.3,Omicron (BA.5)
BF.11.4,Omicron (BA.5)
BF.11.5,Omicron (BA.5)
BF.12,Omicron (BA.5)
BF.13,Omicron (BA.5)
BF.14,Omicron (BA.5)
BF.15,Omicron (BA.5)
BF.16,Omicron (BA.5)
BF.17,Omicron (BA.5)
BF.18,Omicron (BA.5)
BF.19,Omicron (BA.5)
BF.20,Omicron (BA.5)
BF.21,Omicron (BA.5)
BF.22,Omicron (BA.5)
BF.23,Omicron (BA.5)
BF.24,Omicron (BA.5)
BF.25,Omicron (BA.5)
BF.26,Omicron (BA.5)
BF.27,Omicron (BA.5)
BF.28,Omicron (BA.5)
BF.29,Omicron (BA.5)
BF.30,Omicron (BA.5)
BF.31,Omicron (BA.5)
BF.31.1,Omicron (BA.5)
BF.32,Omicron (BA.5)
BF.33,Omicron (BA.5)
BF.34,Omicron (BA.5)
BF.35,Omicron (BA.5)
BF.36,Omicron (BA.5)
BF.37,Omicron (BA.5)
BF.38,Omicron (BA.5)
BF.38.1,Omicron (BA.5)
BF.38.2,Omicron (BA.5)
BF.38.3,Omicron (BA.5)
BF.39,Omicron (BA.5)
BF.39.1,Omicron (BA.5)
BF.40,Omicron (BA.5)
BF.41,Omicron (BA.5)
BF.41.1,Omicron (BA.5)
BA.5.2.2,Omicron (BA.5)
BA.5.2.3,Omicron (BA.5)
BZ.1,Omicron (BA.5)
BZ.2,Omicron (BA.5)
BA.5.2.4,Omicron (BA.5)
BA.5.2.5,Omicron (BA.5)
BA.5.2.6,Omicron (BA.5)
CP.1,Omicron (BA.5)
CP.1.1,Omicron (BA.5)
CP.1.2,Omicron (BA.5)
CP.1.3,Omicron (BA.5)
CP.2,Omicron (BA.5)
CP.3,Omicron (BA.5)
CP.4,Omicron (BA.5)
CP.5,Omicron (BA.5)
CP.6,Omicron (BA.5)
CP.7,Omicron (BA.5)
CP.8,Omicron (BA.5)
CP.8.1,Omicron (BA.5)
BA.5.2.7,Omicron (BA.5)
CY.1,Omicron (BA.5)
CY.2,Omicron (BA.5)
BA.5.2.8,Omicron (BA.5)
BA.5.2.9,Omicron (BA.5)
BA.5.2.10,Omicron (BA.5)
BA.5.2.11,Omicron (BA.5)
BA.5.2.12,Omicron (BA.5)
BA.5.2.13,Omicron (BA.5)
BA.5.2.14,Omicron (BA.5)
BA.5.2.16,Omicron (BA.5)
BU.1,Omicron (BA.5)
BU.2,Omicron (BA.5)
BU.3,Omicron (BA.5)
BA.5.2.18,Omicron (BA.5)
CR.1,Omicron (BA.5)
CR.1.1,Omicron (BA.5)
CR.1.2,Omicron (BA.5)
CR.1.3,Omicron (BA.5)
CR.2,Omicron (BA.5)
BA.5.2.19,Omicron (BA.5)
BA.5.2.20,Omicron (BA.5)
BV.1,Omicron (BA.5)
BV.2,Omicron (BA.5)
BA.5.2.21,Omicron (BA.5)
CN.1,Omicron (BA.5)
CN.2,Omicron (BA.5)
BA.5.2.22,Omicron (BA.5)
BA.5.2.23,Omicron (BA.5)
BA.5.2.24,Omicron (BA.5)
CK.1,Omicron (BA.5)
CK.1.1,Omicron (BA.5)
CK.1.2,Omicron (BA.5)
CK.2,Omicron (BA.5)
CK.2.1,Omicron (BA.5)
CK.2.1.1,Omicron (BA.5)
CK.3,Omicron (BA.5)
DG.1,Omicron (BA.5)
BA.5.2.25,Omicron (BA.5)
DB.1,Omicron (BA.5)
DB.2,Omicron (BA.5)
DB.3,Omicron (BA.5)
BA.5.2.26,Omicron (BA.5)
BA.5.2.27,Omicron (BA.5)
CF.1,Omicron (BA.5)
CG.1,Omicron (BA.5)
BA.5.2.28,Omicron (BA.5)
BA.5.2.29,Omicron (BA.5)
BA.5.2.30,Omicron (BA.5)
BA.5.2.31,Omicron (BA.5)
CD.1,Omicron (BA.5)
CD.2,Omicron (BA.5)
BA.5.2.32,Omicron (BA.5)
BA.5.2.33,Omicron (BA.5)
CE.1,Omicron (BA.5)
BA.5.2.34,Omicron (BA.5)
BA.5.2.35,Omicron (BA.5)
BA.5.2.36,Omicron (BA.5)
CT.1,Omicron (BA.5)
BA.5.2.37,Omicron (BA.5)
BA.5.2.38,Omicron (BA.5)
DA.1,Omicron (BA.5)
BA.5.2.39,Omicron (BA.5)
BA.5.2.40,Omicron (BA.5)
BA.5.2.41,Omicron (BA.5)
BA.5.2.42,Omicron (BA.5)
BA.5.2.43,Omicron (BA.5)
BA.5.2.44,Omicron (BA.5)
BA.5.2.45,Omicron (BA.5)
BA.5.2.46,Omicron (BA.5)
BA.5.2.47,Omicron (BA.5)
DQ.1,Omicron (BA.5)
BA.5.2.48,Omicron (BA.5)
DY.1,Omicron (BA.5)
DY.1.1,Omicron (BA.5)
DY.2,Omicron (BA.5)
DY.3,Omicron (BA.5)
DY.4,Omicron (BA.5)
BA.5.2.49,Omicron (BA.5)
DZ.1,Omicron (BA.5)
DZ.2,Omicron (BA.5)
BA.5.2.50,Omicron (BA.5)
BA.5.2.51,Omicron (BA.5)
BA.5.2.52,Omicron (BA.5)
BA.5.2.53,Omicron (BA.5)
BA.5.2.54,Omicron (BA.5)
